sku,price,product_name,product_name_ar
278,90.0,GANATON 50 MG 30 TAB,جاناتون 50 مجم 30 قرص
279,75.0,ANAFRONIL  SR 75 MG 20 TAB,انافرونيل 75 مجم اس ار 20 قرص
281,92.0,HIBIOTIC N 600 MG SUSP. 80 ML,هاي بيوتك ان 600مجم/5مل شراب معلق 80 مل
1215,52.0,ADOL EXTR 24 CAP,ادول اكسترا 24 قرص
1221,35.0,CARBAMIDE CREAM 30 GM,كارباميد ممفيس 10% كريم 30 جم
1226,30.0,PROPAMETHONE CREAM. 20 GM,بروباميثون كريم 20 جم
1231,54.0,OPTIPRED 10 MG / ML EYE DROP 5 ML,اوبتيبرد قطرة عين 5 مل
1232,45.5,FLUCA EYE DROPS 5 ML,فلوكا قطرة عين 5 مل
300,16.0,ADOL 500 MG 24 CAP,ادول 500 مجم 24 قرص
1235,67.5,ONE-ALPHA 0.5 MCG 30 CAP,وان الفا 0.5 مجم 30 كبسول
303,55.0,BETADINE ANTISEPTIC 10%SOLUTION 60 ML,بيتادين 10% محلول مطهر 60 مل موندى
1238,75.0,PERLOC TABS 40 MG 14,بيرلوك 40 مجم 14 قرص
306,282.0,OMNIC OCAS 0.4 MG 30 TAB,اومنيك اوكاس 0.4 مجم 30 قرص ممتد المفعول
308,54.0,VITACID C 1 G 12 EFF. TAB,فيتاسيد سي 1 جم فوار 12 قرص
309,135.0,METHYLTECHNO 1000 MCG 30 O.D.F,ميثايلتكنو 1000مكجم 30 فيلم سريع الذوبان
1242,27.0,DERMOVATE 0.05% OINTMENT 25 GM,ديرموفيت 0.05 % مرهم 25 جم
311,38.5,KENACOMB CREAM  30 GM,كيناكومب كريم 30 جم
1244,18.0,EPIMAG EFF. 12 SACHETS,ابيماج فوار 5 جم 12 كيس
1245,210.0,CONCOR AMLO 5MG/5 MG 30 TAB,كونكور املو 5/5 مجم 30 قرص
1246,25.0,ULTRASOLV SYRUP 120 ML,التراسولف شراب 120 مل
1250,140.0,NIDO +1 MILK 288 GM,نيدو-1 بلس لبن 288 جم
319,79.0,ATOR 20 MG 10 TAB,اتور 20 مجم 10 قرص
323,83.0,CATAFLAM 75 MG/3 ML 6 AMP.,كتافلام 75 مجم / 3 مل 6 امبول
326,48.0,B-COM I.M./I.V. 6 AMP.,بى-كوم 6 امبول 2 مل
1260,102.0,CORDARONE 200 MG 30 TAB,كوردارون 200 مجم 30 قرص
329,196.0,INS ACTRAPID CARTIG. 100 IU /ML 5 3 M,اكترابيد بينفيل 100 وحده 5 خرطوش
1263,31.0,TANTUM VERDE .15%MOUTH WASH 125 ML,تانتم اخضر 0.15 % مضمضة 125 مل
1265,115.0,FROST SPRAY 100 ML,فروست سبراى 100 مل
337,78.0,ERASTAPEX PLUS 20 MG/12.5 30 TAB,ايراستابكس بلس 20/12.5 مجم 30 قرص
338,39.0,AVIL 45.5 MG/2 ML I.M. 6 AMP.,افيل 45.5 مجم/2مل 6 امبول عضل
1270,30.0,GYNOZOL 400 MG 3 VAGINAL OVULES,جينوزول 400 مجم 3 اقماع مهبلية
340,564.0,PULMICORT 0.25 MG/ ML 20 NEBULIZER VIAL,بالميكورت 0.25 مجم/ مل 20 امبول للاستنشاق
18,367.0,CLEXANE 60 MG/0.6 ML 2 PREFILLED SYRINGE,كليكسان 60مجم/0.6مل 2 سرنجة للحقن تحت الجلد
20,150.0,CONVENTIN 400 MG 30 CAP,كونفنتين 400 مجم 30 كبسول
22,85.0,DEPOVIT B12 1000 MCG/ML I.M 5 AMP.,ديبوفيت بي12 - 1000 مكجم / مل 5 امبول
23,112856.0,OCREVUS VIAL INFUS 300 MG 1 10 M,اوكريفوس فيال 10 مل 300 مجم ثلاجة روش
24,21300.0,CEREZYME VIAL DRY IV 400 IU 1 10,سيريزايم 400 وحدة فيال
25,72.0,CONCOR 5 MG 30 TAB,كونكور 5 مجم  30 قرص
26,144.0,EREC 100 MG 12 TAB,اريك 100 مجم 12 قرص
27,50.25,DIAMICRON SCORED TABS 60 MG 30,دياميكرون 60 مجم 30 اقراص
29,1.0,36,28
31,190.0,SOMATROPIN VIAL 4 IU 1 (OLD),سوماتروبين فيال 4 وحدة دولية ثلاجة
32,1244.0,LANTUS SOLOSTAR 100 I.U./ ML 5 PENS,لانتوس سولوستار 100 وحدة دولية / مل 5 قلم
38,90.0,IMMUNO-MASH 30 TAB,اميونو-ماش 30 قرص
39,251.0,MIRAGE 1 GM I.V. VIAL,ميراج 1 جم فيال وريد
40,39.0,XORAXON 1 GM I.M VIAL,زوراكسون 1 جم فيال عضل
42,1.0,33,36
43,175.0,CRESTOR 20 MG 14 TAB,كريستور 20 مجم 14 قرص
44,31.0,PANADOL TABS ADVANCE 500 MG 24,بانادول ادفانس 500 مجم 24 قرص
47,72.0,CONCOR 5 PLUS 5 MG 30 TAB,كونكور بلس 5/12.5مجم 30 قرص
48,102.0,AMBEZIM-G 30 TAB,امبيزيم-جى 30 قرص
49,31718.0,MABTHERA V.SC 1400 MG 1 11.7 ML,مابثيرا 1400 مجم فيال 11.7 مل ثلاجة
344,80.0,BETADINE ANTISEPTIC 10%SOLUTION 120 ML,بيتادين محلول مطهر 10% 120 مل موندى
S13808,60.0,Essie Nail Polish 655,إيسي طلاء أظافر 655
1276,52.0,NEOZOLID 600 MG 3 TAB,نيوزوليد 600 مجم 3 قرص
346,73.5,AMARYL M 2 MG/500 30 TAB,اماريل ام 2/500مجم 30 قرص
347,60.0,ANTODINE 20 MG 30 TAB,انتودين 20 مجم 30 قرص
348,92.0,FLUMOX 1000 MG 15 TAB,فلوموكس 1000 مجم 15 قرص
354,243.0,PANTOGAR 90 CAP,بانتوجار 90 كبسولة
360,56.0,TRENTAL SR 400 MG 20 TAB,ترنتال اس آر 400 مجم 20 قرص
363,63.0,POLYFRESH 0.2%EYE DROPS 10 ML,بولي فريش 2مجم / مل قطرة عين 10 مل
1295,64.0,VITA STRESS 20 TAB,فيتاستريس 20 قرص
1298,38.0,TRITOSPOT CREAM 15 GM,تريتوسبوت كريم 15 جم
367,32.0,ONE TWO THREE (1 2 3) SYRUP 120 ML,وانتوثرى شراب 120 مللى
369,87.0,DUPHALAC SYRUP 200 ML,دوفالاك شراب 200 مل
1303,22.0,NOSTAMINE EYE/NOSE DROP 15 ML,نوستامين قطرة 15 مل
1309,90.0,CHROMITRON 30 CAP,كروميترون 30 كبسول
380,90.0,DICLAC 75 MG 20 TAB,ديكلاك 75 مجم 20 قرص
1315,89.0,XITHRONE 200 MG SUSP. 25 ML,زيثرون 200مجم/5مل شراب معلق 25 مل
386,56.0,TRIAMERICAN VIAL DRY IM 1 G 1,تريامريكان 1 جم فيال
